"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
figmem_vr2demot,figural_memory,,text,"VR2 Demo %ile",,,number,,,,,,,,,,
figmem_vr2percent,figural_memory,,text,"VR2 Percent Retention",,,number,,,,,,,,,,
figmem_vr2recog,figural_memory,,text,"VR2 Recognition Total Raw Score",,,number,,,,,,,,,,
figmem_vrcopy,figural_memory,,text,"VR Copy Total Raw Score",,,,,,,,,,,,,
bnt_tot,bnt,,text,"Total Number Correct ",,,,,,,,,,,,,
bnt_z,bnt,,text,"BNT z-score",,,,,,,,,,,,,
bnt_perc,bnt,,text,"BNT %ile",,,,,,,,,,,,,
bnt_discnt,bnt,,checkbox,"Check ""yes"" if test was discontinued (at least 6 consecutive incorrect responses)",yes,,,,,,,,,,,,
catflu_animals_total,category_fluency_animals,,text,"Animals - Total Correct Responses ",,,number,,,,,,,,,,
catflu_animals_z,category_fluency_animals,,text,"Animals z-score",,,,,,,,,,,,,
catflu_animals_perc,category_fluency_animals,,text,"Animals %ile",,,,,,,,,,,,,
catflu_animals_reperror,category_fluency_animals,,text,"Animals - Repetition Errors",,,number,,,,,,,,,,
catflu_animals_setloss,category_fluency_animals,,text,"Animals - Set-Loss Errors",,,number,,,,,,,,,,
catflu_animals_totresp,category_fluency_animals,,calc,"Total Responses (Correct + Incorrect)",[catflu_animals_total]+[catflu_animals_setloss]+[catflu_animals_reperror],,,,,,,,,,,,
bta_numbers,bta,,text,"Form N (Numbers) Raw Score (out of 10)",,,number,0,10,,,,,,,,
bta_letters,bta,,text,"Form L (Letters) Raw Score (out of 10)",,,number,0,10,,,,,,,,
btatot,bta,,text,"Total Raw Score (N score + L score)",,,number,0,20,,,,,,,,
bta_z,bta,,text,"BTA z-score",,,,,,,,,,,,,
btapercent,bta,,text,"Percentile Rank",,,,,,,,,,,,,
sdmt_wr,sdmt,"Written ",text,"Written Raw Score",,,,,,,,,,,,,
sdmt_wr_perc,sdmt,,text,"Written %ile",,,,,,,,,,,,,
sdmt_wr_z,sdmt,,text,"Written z-score",,,,,,,,,,,,,
oral_correct,sdmt,Oral,text,"Oral Raw Score",,,number,,,,,,,,,,
sdmt_oral_z,sdmt,,text,"Oral z-score",,,,,,,,,,,,,
sdmt_oral_perc,sdmt,,text,"Oral %ile",,,,,,,,,,,,,
jlo_fiorm,jlo,,radio,"Form Version?","0, 1 Form V - Standard | 1, 2 Form H - Alternate",,,,,,,,,,,,
jlo,jlo,,text,"Raw Score (Number Correct Out of 30):",,,number,0,30,,,,,,,,
jlo_corr,jlo,,text,"Score with correction:",,,,0,35,,,,,,,,
jlo_range,jlo,,text,"Percentile Range:",,,,,,,,,,,,,
jlo_class,jlo,,text,Classification:,,,,,,,,,,,,,
pent_score,intersecting_pentagons,,radio,Score,"0, 0 points | 1, 1 point (10 angles, figures intersect)",,,,,,,,,,,,
comp_cvlt_tot_z,composite_cognitive_scores,"Verbal Learning and Memory Domain",text,"CVLT 1-5 Total Z-score",,,,,,,,,,,,,
comp_cvlt_long_z,composite_cognitive_scores,,text,"CVLT Long Free Z-score",,,,,,,,,,,,,
comp_mem,composite_cognitive_scores,,calc,"Verbal learning and memory composite score","mean([comp_cvlt_tot_z], [comp_cvlt_long_z])",,,,,,,,,,,,
comp_trailsb_z,composite_cognitive_scores,"Attention/Working Memory domain",text,"Trails B Z-score",,,,,,,,,,,,,
comp_bta_z,composite_cognitive_scores,,text,"Brief Test of Attention Z-score",,,,,,,,,,,,,
comp_att,composite_cognitive_scores,,calc,"Attention/working memory composite score","mean([comp_trailsb_z], [comp_bta_z])",,,,,,,,,,,,
comp_fas_z,composite_cognitive_scores,"Language domain",text,"FAS Z-score",,,,,,,,,,,,,
comp_animal_z,composite_cognitive_scores,,text,"Animals Z-score",,,,,,,,,,,,,
comp_lang,composite_cognitive_scores,,calc,"Language composite score","mean([comp_fas_z], [comp_animal_z])",,,,,,,,,,,,
comp_sdmt_oral_z,composite_cognitive_scores,"Executive Function domain",text,"SDMT Oral Z-score",,,,,,,,,,,,,
comp_sdmt_written_z,composite_cognitive_scores,,text,"SDMT Written Z-score",,,,,,,,,,,,,
comp_exec,composite_cognitive_scores,,calc,"Executive Function composite score","mean([comp_sdmt_oral_z], [comp_sdmt_written_z])",,,,,,,,,,,,
comp_jlo_z,composite_cognitive_scores,"Visuospatial domain",text,"JLO Z-score",,,,,,,,,,,,,
comp_pent_z,composite_cognitive_scores,,text,"Pentagons Z-score",,,,,,,,,,,,,
comp_visuo,composite_cognitive_scores,,calc,"Visuospatial composite score","mean([comp_jlo_z], [comp_pent_z])",,,,,,,,,,,,
comp_tot,composite_cognitive_scores,"Overall Cognitive Composite Score",calc,"Cognitive Composite Score","mean([comp_visuo], [comp_exec], [comp_mem], [comp_lang], [comp_att])",,,,,,,,,,,,
cogclass_list,cognitive_classification,,radio,"Cognitive Classification","1, Normal Cognition | 2, PD-MCI | 3, PDD",,,,,,,,,,,,
cogconv,cognitive_classification,,yesno,"Cognitive conversion from previous visit? (PD-NC to PD-MCI, PD-NC to PDD, or PD-MCI to PDD)",,,,,,,,,,,,,
